"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","fase_despesa","funcao","VALUE","QT_HABITANTE","ELEMENTLABEL","DT_STATUS_COLETA","dh_consulta"
"2016","2","B","M","E","2607653","Itambé","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3214453.44","36278","Total das Despesas Exceto Intra-Orçamentárias","2016-07-25T18:30:21Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2303501","Cascavel","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","352215.04","70047","Total de Despesas Intraorçamentária","2016-12-02T01:33:24Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2606200","Goiana","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6437106.14","78618","Total das Despesas Exceto Intra-Orçamentárias","2016-07-26T20:21:35Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2301109","Aracati","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9349513.99","72727","Total das Despesas Exceto Intra-Orçamentárias","2016-11-30T15:35:45Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2602209","Bom Jardim","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5020401.79","38976","Total das Despesas Exceto Intra-Orçamentárias","2017-07-30T20:06:04Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2305407","Icó","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9947185.72","67045","Total das Despesas Exceto Intra-Orçamentárias","2015-07-30T18:59:08Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2614709","Tacaimbó","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2263901.88","12891","Total das Despesas Exceto Intra-Orçamentárias","2017-03-30T13:51:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2607901","Jaboatão dos Guararapes","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","11523239.82","691125","Total de Despesas Intraorçamentária","2017-07-28T17:03:52Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2600708","Aliança","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5975410","38255","Total das Despesas Exceto Intra-Orçamentárias","2017-02-07T01:32:58Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2613008","São Bento do Una","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","584717.33","57659","Total de Despesas Intraorçamentária","2017-03-23T11:53:06Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2309607","Pacajus","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5966974.02","67678","Total das Despesas Exceto Intra-Orçamentárias","2015-05-29T20:59:43Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2608453","Lagoa do Carro","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2031289.01","17247","Total das Despesas Exceto Intra-Orçamentárias","2015-09-24T14:17:41Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2310258","Paraipaba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2713958.79","32256","Total das Despesas Exceto Intra-Orçamentárias","2017-03-29T19:22:19Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2309102","Mulungu","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1947106.75","12526","Total das Despesas Exceto Intra-Orçamentárias","2017-05-30T13:19:00Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2304004","Coreaú","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2689005.35","22773","Total das Despesas Exceto Intra-Orçamentárias","2015-05-13T15:11:44Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2606101","Glória do Goitá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3056176.46","30111","Total das Despesas Exceto Intra-Orçamentárias","2015-09-24T13:19:31Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","6","B","M","E","2606101","Glória do Goitá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4210863.84","30111","Total das Despesas Exceto Intra-Orçamentárias","2016-01-30T19:11:44Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2313609","Ubajara","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4314601.81","33505","Total das Despesas Exceto Intra-Orçamentárias","2015-07-09T18:57:53Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2601904","Bezerros","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","814864.23","60386","Total de Despesas Intraorçamentária","2016-05-30T18:59:58Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2602407","Brejão","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","238024.32","8980","Total de Despesas Intraorçamentária","2017-07-30T13:22:03Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2616506","Xexéu","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2739697.85","14549","Total das Despesas Exceto Intra-Orçamentárias","2015-09-21T19:16:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2607653","Itambé","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3337039.36","36278","Total das Despesas Exceto Intra-Orçamentárias","2016-11-30T20:30:02Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2305001","Guaraciaba do Norte","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3570896.1","39301","Total das Despesas Exceto Intra-Orçamentárias","2017-04-13T20:42:50Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","3","B","M","E","2608800","Lajedo","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6244168.11","39570","Total das Despesas Exceto Intra-Orçamentárias","2017-07-27T19:09:14Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2614204","Sirinhaém","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4535193.97","44187","Total das Despesas Exceto Intra-Orçamentárias","2016-07-26T14:26:12Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2603702","Canhotinho","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","144320.38","24837","Total de Despesas Intraorçamentária","2016-11-29T18:43:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2606101","Glória do Goitá","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3349057.99","30220","Total das Despesas Exceto Intra-Orçamentárias","2016-07-25T18:39:43Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2302305","Bela Cruz","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4354926.5","31956","Total das Despesas Exceto Intra-Orçamentárias","2015-07-31T13:13:25Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2603926","Carnaubeira da Penha","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","98809.48","12603","Total de Despesas Intraorçamentária","2016-05-26T11:03:53Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","1","B","M","E","2302800","Canindé","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","449300.77","76998","Total de Despesas Intraorçamentária","2016-05-02T17:27:52Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2614204","Sirinhaém","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2769605.72","43620","Total das Despesas Exceto Intra-Orçamentárias","2015-04-01T18:59:11Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2611606","Recife","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","121408982.13","1608488","Total das Despesas Exceto Intra-Orçamentárias","2015-09-30T13:59:40Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2606002","Garanhuns","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","13345292.46","136949","Total das Despesas Exceto Intra-Orçamentárias","2016-11-22T21:13:16Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2600609","Alagoinha","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","182743.9","14341","Total de Despesas Intraorçamentária","2016-07-29T18:36:25Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2607752","Itapissuma","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","204985.24","25798","Total de Despesas Intraorçamentária","2016-12-05T15:06:59Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2307650","Maracanaú","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","25760464.77","223188","Total das Despesas Exceto Intra-Orçamentárias","2017-04-01T01:33:10Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2600401","Água Preta","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2509275.32","36040","Total das Despesas Exceto Intra-Orçamentárias","2017-03-29T15:04:55Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2601508","Belém de Maria","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","965050.03","11941","Total das Despesas Exceto Intra-Orçamentárias","2017-03-31T00:35:51Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2610509","Passira","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","764227.27","28935","Total de Despesas Intraorçamentária","2017-05-30T15:17:27Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2605509","Ferreiros","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1028324.75","11957","Total das Despesas Exceto Intra-Orçamentárias","2016-07-28T19:43:34Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2612554","Santa Filomena","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","202673.48","14172","Total de Despesas Intraorçamentária","2016-05-23T21:52:32Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","2","B","M","E","2611705","Riacho das Almas","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","74305.18","20177","Total de Despesas Intraorçamentária","2016-12-01T21:40:28Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","1","B","M","E","2306207","Itaiçaba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","876282.39","7698","Total das Despesas Exceto Intra-Orçamentárias","2017-03-28T17:49:18Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2609600","Olinda","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","24504631.73","389494","Total das Despesas Exceto Intra-Orçamentárias","2017-03-31T00:32:53Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","3","B","M","E","2304202","Crato","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","12129987.85","127657","Total das Despesas Exceto Intra-Orçamentárias","2015-07-28T19:14:41Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","6","B","M","E","2608255","Jucati","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","149903.53","11202","Total de Despesas Intraorçamentária","2017-01-31T12:21:16Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2017","2","B","M","E","2609907","Ouricuri","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","6705512.79","68236","Total das Despesas Exceto Intra-Orçamentárias","2017-05-23T11:58:08Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2308302","Milagres","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3352633.38","28354","Total das Despesas Exceto Intra-Orçamentárias","2016-09-28T14:53:50Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2607752","Itapissuma","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3116283.74","25798","Total das Despesas Exceto Intra-Orçamentárias","2016-12-05T15:06:59Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","2","B","M","E","2306108","Irauçuba","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3260071.93","23376","Total das Despesas Exceto Intra-Orçamentárias","2015-05-29T19:34:08Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","5","B","M","E","2314003","Várzea Alegre","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4324852.68","39861","Total das Despesas Exceto Intra-Orçamentárias","2016-02-05T01:30:17Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","5","B","M","E","2608404","Jurema","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2043328.3","15171","Total das Despesas Exceto Intra-Orçamentárias","2016-12-01T01:33:05Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","1","B","M","E","2601805","Betânia","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1231494.65","12487","Total das Despesas Exceto Intra-Orçamentárias","2015-06-29T14:50:21Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2015","4","B","M","E","2615607","Trindade","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3911381.21","29182","Total das Despesas Exceto Intra-Orçamentárias","2015-09-24T21:23:11Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","3","B","M","E","2611606","Recife","PE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","126876146.43","1617183","Total das Despesas Exceto Intra-Orçamentárias","2016-07-29T17:22:01Z","##------ Sun Sep 20 09:30:05 2020 ------##"
"2016","4","B","M","E","2309409","Novo Oriente","CE","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3542811.25","28220","Total das Despesas Exceto Intra-Orçamentárias","2016-09-29T20:42:55Z","##------ Sun Sep 20 09:30:05 2020 ------##"
